Department,CourseName,Course,Program,CourseCode,Offerings that are sustainable,CourseDescription,Focused or Inclusive,Cross Listed
Electrical & Computer Engr,Computer Architecture,ECE 201,ECE,201,"Yan, Zhiyuan ",Structure and function of digital computers. Computer components and their operations. Computer interconnection structures. Memory system and cache memory. Interrupt driven input/output and direct memory access. Instruction sets and addressing modes. Instruction pipelining. Floating-point representation and arithmetic. Alternative architectures: RISC vs. CISC and introduction to parallel architectures.,Sustainability-inclusive,
Electrical & Computer Engr,Networking for Smart Grids,ECE 427,ECE,427,All offerings,"Overview of smart grid electricity systems. Concepts covered include power system background and operations, electricity markets, legacy grid communications, and the smart grid vision and objectives. Additional focus on relevant communications and networking technologies that enable smart grid applications, such as real-time grid monitoring, automated control, demand response, distributed energy systems, microgrids, vehicle-to-grid integration, and smart homes and buildings. This course is a version of ECE327 for graduate students. Credit will not be given for both ECE327 and ECE427.",Sustainability-inclusive,
Economics,The Economics of Gender & Race,ECO 234,ECO,234,All offerings,"In this course, students will explore, through mass media and documentaries, current socioeconomic issues and policies concerning race and gender in the United States and around the globe. Students will employ economic theory at the introductory level and will explore and analyze empirical evidence to complement the theories.",Sustainability-inclusive,
Economics,Economic Development,ECO 303,ECO,303,All offerings,"Economic development, economic growth and their political environment are discussed in detail. The principal economic development theories are examined. These theories are used to examine a variety of development issues including planning, poverty, rural-urban relationships, physical and human capital accumulation, international trade, and the environment. Emphasis on institutions and development policy.",Sustainability-inclusive,
Economics,Economic Growth,ECO 304,ECO,304,All offerings,"A theoretical and empirical examination of economic growth and income differences between countries. The course focuses on both the historical experience of countries that are currently rich and the process of catch-up among poorer countries. Topics include population growth, the accumulation of physical and human capital, technological change, natural resources, income distribution, geography, government and culture. The course will involve extensive mathematical, analytical, verbal, and communication skills, those typical of any rigorous upper-level undergraduate economics course.",Sustainability-inclusive,
Economics,Environmental Economics,ECO 311,ECO,311,All offerings,Resource allocation implications of environmental degradation. Analysis of the benefits and costs associated with alternative pollution control programs and strategies.,Sustainability-focused,
Economics,Economic Development in China,ECO 342,ECO,342,All offerings,"This course delves into the transformation of the Chinese economy, tracing its evolution from its pre-1978 foundations to the present. Through a universal analytical framework, students will explore key facets such as urban-rural dynamics, income inequalities, technological influences, and financial systems. The curriculum provides a foundation for critically assessing the sustainability of economic growth, applicable not just to China but to global economies at large.",Sustainability-inclusive,
Economics,Political Economy of Iraq,ECO 345,ECO,345,All offerings,"An examination of the economic, political and social forces at work in Iraq with emphasis on the post-2002 period. Major topics include recent history and culture, petroleum production and transport, corruption, agricultural transition, rural-urban divergence, unemployment, poverty, the economic and political role of the state owned enterprises, entrepreneurship and the informal economy, banking, and monetary, exchange rate, and fiscal policies.",Sustainability-inclusive,
Education and Human Services,Leading Inclusive Learning Systems,EDL 423,EDL,423,All offerings,Issues facing school administrators as they develop and implement plans to address the needs of all students in their schools and districts. Addresses administrators’ obligations for the development and monitoring of Individualized Education Programs for children and youth with disabilities as well as other duties encumbered by administrators.,Sustainability-inclusive,
Education and Human Services,Special Topics in Education,EDUC 394,EDUC,394,Specific offerings,"Open to all COE students, incl. Non-degree. Self-Reflection for Transformation: Strengthening Racial Competency as Antiracist Action” is for anyone who is interested in exploring the complex ways that their racial identity functions in their personal and professional lives. This course is for anyone who would like to discover how deeply reflective personal narrative writing can act as a transcendent experience of personal growth. Special attention will be paid to how these personal changes will aid you in changing the world around you.",Sustainability-inclusive,
Education and Human Services,Special Topics in Education,EDUC 394,EDUC,394,Specific offerings,"This course is an introduction to the psychological experiences of immigrants in the U.S., with a major focus on immigration from Latin America. Using a critical lens, students in this course analyze the way that current and historical conditions shape immigrants' mental health and overall wellbeing. This course also draws from research and theory to review strategies for working with immigrants, supporting their resilience and success in educational, work, health, mental health, and community settings.",Sustainability-inclusive,
Education and Human Services,Contemporary Issues in Multilingual Learner Education,EDUC 420,EDUC,420,All offerings,"Current educational, political, and social conditions that make learning English as a second language a matter of educational equity and social justice. Through a synthesis of the latest research and current educational trends, this course takes a critical look at the complexities of contemporary policies, school practices, and prevalent ideologies that both create and reinforce limited educational opportunities for MLs.",Sustainability-inclusive,
Education and Human Services,Implementation for Equity: Social Emotional Learning in Action,EDUC 436,EDUC,436,All offerings,"This module is focused on application of social-emotional theories and practices to create equitable learning environments. This course will engage school personnel in identifying one or more inequities within the school context and developing a culturally responsive plan to remediate these inequities. Considering organizational readiness, school personnel will focus on inter-system collaboration among family, school, and community partners to assess and address student social, emotional, and behavioral needs, as well as learn skills to engage youth in decision-making processes.",Sustainability-inclusive,
Education and Human Services,Diversity and Multicultural Perspectives,EDUC 471,EDUC,471,All offerings,"Examination of the influence of culture, gender, and disabilities on behavior and attitudes. Historical and current perspectives on race, culture, gender, sexual orientation, gender identity diversity, and minority group issues in education and psychology. Lecture/small group discussion. This course is restricted to graduate students in the College of Education.",Sustainability-inclusive,
Earth & Environmental Sciences,Introduction To Environmental Science,EES 002,EES,002,All offerings,"Focuses on natural and human-induced drivers and consequences of environmental change. Exploring options for mitigating and adapting to environmental change in ecosystems, physical and social systems, the course examines such topics as biogeochemical cycles, population pressure, ecosystem diversity, productivity and food security, energy, water resources, climate change, pollution, ozone, urban issues and sustainability. Stresses interactions using case studies. Intended for any student with an interest in the environment. Cross-listed with EVST 002",Sustainability-focused,EVST 002
Earth & Environmental Sciences,Science of Environmental Issues,EES 004,EES,004,All offerings,Analysis of current environmental issues from a scientific perspective. The focus on the course will be weekly discussions based on assigned readings.  Cross-listed with EVST 004,Sustainability-inclusive,EVST 004
Earth & Environmental Sciences,Environmental Geology,EES 011,EES,011,All offerings,"Analysis of the dynamic interaction of geologic processes and human activities. Catastrophic geologic processes (earthquakes, volcanoes, landslides), pollution of geologic systems, and engineering case studies.",Sustainability-inclusive,
Earth & Environmental Sciences,Geology Of War,EES 016,EES,016,All offerings,"Introduction to Earth and Environmental Sciences through a study of the resource and environmental change causes of human conflict. Earth and Environmental Science basis for permanent and contingent operating factors during war. Instructional format includes lectures, discussions, student projects, and a field trip to Gettysburg National Military Park. May be combined with EES 022 or EES 004 for 4 credits.",Sustainability-inclusive,
Earth & Environmental Sciences,Exploring Earth,EES 022,EES,022,All offerings,"Laboratory course in methods, data acquisition, data analyses and scientific communication relevant to Earth and Environmental Sciences. Building on the framework of the “Earth Science Literacy Initiative” the course introduces students to the foundations of the scientific method, the basic concepts of the Earth systems, and the influence and interaction of the natural world in everyday life. Topics include Hazards, resources, anthropogenic forcing and impacts, biogeochemical cycles and sustainability.",Sustainability-inclusive,
Earth & Environmental Sciences,"Weather and Climate: Past, Present, and Future",EES 023,EES,023,All offerings,"Introduction to the basic principles of meteorology, as they pertain to past, present, and future climates. Earth’s energy balance; cloud formation and precipitation; winds and atmospheric circulation; regional climatologies; past warm periods and ice ages in Earth’s history; the latest ideas about future climate change and global warming. Students will maintain a weather notebook to enable them to relate theory to observations from real weather data",Sustainability-inclusive,
Earth & Environmental Sciences,The Environment and Living Systems,EES 025,EES,025,All offerings,"The course will provide an introduction to the role of the environment in regulating living systems at a variety of scales and levels of organization. The role of the environment in regulating and shaping populations, communities, and ecosystems will be explored. In addition, the role of the environment will be discussed as it relates to the origin, evolution, and diversity of life on earth. Whenever possible, the role of anthropogenic environmental change will be discussed as it relates.",Sustainability-focused,
Earth & Environmental Sciences,"Energy – Origins, Impacts, and Options",EES 026,EES,026,All offerings,"Critical assessment of current and predicted energy resources used by humans, including their origins, distribution, environmental impacts, and feasibility. Lectures, discussion, field trips.",Sustainability-inclusive,
Earth & Environmental Sciences,Natural Hazards: Impacts and Consequences,EES 027,EES,027,All offerings,"Earthquakes, volcanoes, tsunamis, floods, and hurricanes are a natural part of the Earth and our environment. These events have violent consequences for our lives and significant economic implications. This course examines the causes, predictability, and risk mitigation for these events. We will also consider how natural disasters are represented by popular media and whether this helps or hurts public understanding of our dynamic planet and our relationship to it.",Sustainability-focused,
Earth & Environmental Sciences,Conservation and Biodiversity,EES 028,EES,028,All offerings,"An introduction to the science of conservation biology. We examine the evolution of biodiversity on earth, spatial patterns of biodiversity, the impact of human activities on biodiversity, and assess strategies for the management and conservation of biodiversity. Students gain the scientific literacy necessary to make informed decisions about topics such as wilderness preservation, species conservation, and land use.",Sustainability-focused,
Earth & Environmental Sciences,Oceanography,EES 032,EES,032,All offerings,"An introduction to the structure, composition, and processes of the earth from a marine perspective. Topics include earth structure, plate tectonics, continental margins, coastal processes, seawater chemistry, ocean circulation, wave dynamics, primary productivity, plankton and plants, marine organisms and communities.",Sustainability-inclusive,BIOS 032
Earth & Environmental Sciences,Introduction to the Earth System,EES 080,EES,080,All offerings,"Study of the earth system, including the atmosphere, biosphere, geosphere, and hydrosphere and their interactions (e.g., plate tectonics, biogeochemical cycling, climate, anthropogenic impacts). The course is designed to prepare students for a major in EES and includes a lab that develops important skills including data analysis, modeling, use of maps and geospatial data, and field work. Lectures and lab.",Sustainability-inclusive,
Earth & Environmental Sciences,Freshman Seminar in Earth & Environmental Sciences,EES 090,EES,090,Specific offerings,"In this seminar we will learn how human attempts to control nature can disturb the natural system. To do this we will learn first about the natural system, then the strategies used by humans to control it, and finally the unexpected side effects of that control. We will also look at attempts to control nature at a larger scale, how human activities inadvertently control nature globally. The Control of Nature by John McPhee will be our central reading, but we will branch out into other topics with additional readings.",Sustainability-focused,
Earth & Environmental Sciences,Freshman Seminar in Earth & Environmental Sciences,EES 090,EES,090,Specific offerings,"The Arctic and Antarctic regions are some of the most hostile environments on Earth, yet they have been the focus of human dreams for centuries. In Lands of the Midnight Sun, we will explore the geography and physical processes of these extreme environments, as well as plant and animal adaptations, human exploration and modern communities, and environmental change. After we build a foundation of understanding the fascinating polar regions, we will discuss major modern issues and the interactions among them including: global change, pollution, resource extraction, political boundaries, and indigenous cultures. Student interests can dictate which ones we focus on. (Fulfills Natural Science Requirement). The course will be a combination of discussion, lecture, writing, and presentation (including making a short film).",Sustainability-inclusive,
Earth & Environmental Sciences,Freshman Seminar in Earth & Environmental Sciences,EES 090,EES,090,Specific offerings,"This course will consider climate change over Earth’s history with emphasis on the last 2 million years, when Earth’s climate varied from glacial to interglacial conditions to today’s current greenhouse world. Factors that control natural and human-caused climate change will be explained. Current climate change will be put into context with the past. Readings will be based on Richard Alley’s book, The Two-Mile Time Machine, a story of the Greenland ice core project. We will learn about proxies used to reconstruct past temperatures and CO2 levels, dating techniques, and glacial dynamics. Then we delve into the deep climate past, studying topics such as a) why the earth was so warm when the sun was much less bright billions of years ago, b) the explanation for snowball earth, when earth was completely covered by snow and ice, c) the warm Cretaceous when dinosaurs thrived on the earth, and d) the more recent Cenozoic cooling that led to the glacial-interglacial cycles. Ultimately we discuss rapid climate change in the recent geologic past and how we might be replicating it again today.",Sustainability-inclusive,
Earth & Environmental Sciences,Freshman Seminar in Earth & Environmental Sciences: Art and Climate Change,EES 090,EES,090,Specific offerings,"This course will introduce students to the creative practice of art making focused on the intersection between art and climate change with interdisciplinary experiential learning. Art 21 Climate Crisis and virtual studio visits with climate change artists and eco activism will inform our course dialogue. Research utilizing the LUAG collection, readings, discussions and project-based learning will be the core of the classwork. Students will choose topics such as rising sea level, famine, floods, disease, storms and temperature to investigate. Professors from Earth Sciences, Biology and Sustainability will give pop up lectures throughout the semester. Mixed media techniques, demonstrations of data visualization, sketchbook assignments critique, gallery/museum visits and lectures will comprise the basis of this creative inquiry class. A field trip to the Nurture Nature Center (Easton) will enable students to observe and study a variety of approaches to the art of science.",Sustainability-inclusive,
Earth & Environmental Sciences,Freshman Seminar in Earth & Environmental Sciences,EES 090,EES,090,Specific offerings,"This course will introduce students to the creative practice of art making focused on the intersection between art and climate change. Lectures by Lehigh Climate Change scientists, Philadelphia based Climate Change artists inform our course dialogue. Research utilizing the LUAG collection, readings, discussions and project based learning will be the core of the classwork. Students research topics such as Rising Sea Levels, Famine, Disease and Temperature to create artworks that communicate their findings. Mixed media techniques, demonstrations of data visualization, sketchbook assignments, critique, gallery/museum visits and lectures will comprise the basis of this creative inquiry class. $150 lab fee.",Sustainability-inclusive,
Earth & Environmental Sciences,Can You Dig It? Life Below Ground,EES 095,EES,095,Specific offerings,"Do you ever wonder what's going on in the world beneath our feet? There's a whole universe down there to which most of us never give a second thought that's immensely important to life aboveground. In this course, we will explore topics related to the flora and fauna that call the underground home. We will begin with an exploration of soils, plants, fungi, macroinvertebrates, and larger organisms. As we continue our exploration, we will also touch on caves and caverns, some timely topics such as resource extraction, and subterranean geopolitical--geopolitics that revolve around the underground. You and your fellow peers will have the opportunity to steer the focus of this course, choosing many of the topics we will cover. The course will be a combination of discussion, lecture, writing, and presentations. (Fulfills Natural Science Requirement). This course can be applied toward the NS requirement.",Sustainability-inclusive,
Earth & Environmental Sciences,Globalization & Environment,EES 096,EES,096,Specific offerings,"This course investigates how microbes that are invisible to the naked eye play highly influential roles in global environmental change. We will explore this phenomenon in terrestrial and aquatic systems, from highly urbanized to remote regions. We will conclude by examining ways to harness the power of microbes to combat facets of global change. May be combined with EES 022 or EES 004 for 4 credits.",Sustainability-focused,
Earth & Environmental Sciences,Observing and Studying Nature,EES 097,EES,097,Specific offerings,"Introduction to the basics of studying nature, focusing on regional biodiversity. This course will familiarize participants with the common plants and animals in the Lehigh Valley and provide tools to interact with natural ecosystems and conserve biodiversity. A combination of lectures, classroom discussion, and outdoor activities.",Sustainability-inclusive,
Earth & Environmental Sciences,Special Topics in Earth & Environmental Science: Human Health & the Environment,EES 098,EES,098,Specific offerings,"A Special Topics introductory course that explores the connections between the environment and human health. Topics related to human health include climate change, energy production, genome-environment interactions, zoonotic disease, and drinking water chemistry. Introduction to the disciplines of geochemistry, ecology, geospatial data analysis, environmental epidemiology, toxicology, risk assessment, and exposure science. Course format includes a combination of lectures on fundamentals and seminar style topical readings.",Sustainability-focused,
Earth & Environmental Sciences,Environmental Science and Sustainability,EES 102,EES,102,All offerings,"An examination of how the Earth and environment sustain human health and well-being, how our actions support and conserve or disrupt and deplete natural systems and resources, and how environmental impacts are distributed globally and socioeconomically. Focus on scientific inquiry, quantitative reasoning, evidence based decision making, cultivating curiosity, and the challenges and opportunities of living sustainably. Active learning and case studies. Required for registration: completion of at least 1 credit of any EES course.",Sustainability-focused,
Earth & Environmental Sciences,Surficial Processes,EES 115,EES,115,All offerings,"An introduction to process geomorphology and sedimentology that emphasizes the dynamic interactions of climate, tectonics, and watershed hydrology on the erosional, transportational, depositional, and biological processes that shape landscapes. Includes a field and computer-intensive lab.",Sustainability-inclusive,
Earth & Environmental Sciences,Ecology,EES 152,EES,152,All offerings,"The study of relationships among organisms and their physical environment. Ecology of individual organisms, populations, communities, ecosystems, landscapes, and the biosphere. Topics include organism adaptations and natural selection, life histories, population growth and dynamics, species interactions, energy flow, nutrient cycling, and ecological impacts of human activities. Field-based laboratories focus on the quantitative study of biological populations and communities. Lectures, field-based laboratories, and applied activities.",Sustainability-inclusive,
Earth & Environmental Sciences,Earth History,EES 200,EES,200,All offerings,"Review of the coevolution of Earth, life, climate, and the environment, and introduction to the records used to constrain this history. The course addresses environmental changes at both geologic and human time spans. Includes laboratory exercises and field trips.",Sustainability-inclusive,
Earth & Environmental Sciences,Terrestrial Ecosystems,EES 250,EES,250,All offerings,"The study of forested ecosystems around the globe. Topics include abiotic and biotic drivers of forest diversity, forest dynamics and structure, and human impacts and management. Laboratory/field activities foster practical skills such as plant identification, experimental design, data collection, data analysis in Excel and R, data visualization, oral communication, and scientific writing. Lectures, field-based laboratories, and applied activities.",Sustainability-focused,
Earth & Environmental Sciences,Terrestrial Ecosystems,EES 250,EES,250,All offerings,"The study of forested ecosystems around the globe. Topics include abiotic and biotic drivers of forest diversity, forest dynamics and structure, and human impacts and management. Laboratory/field activities foster practical skills such as plant identification, experimental design, data collection, data analysis in Excel and R, data visualization, oral communication, and scientific writing. Lectures, field-based laboratories, and applied activities.",Sustainability-focused,
Earth & Environmental Sciences,Hydrogeology,EES 316,EES,316,All offerings,"Water plays a critical role in the physical, chemical, and biological processes that occur at the Earth's surface. This course is an introduction to surface and groundwater hydrology in natural systems, providing fundamental concepts and a process-level understanding using the hydrologic cycle as a framework. Geochemistry will be integrated to address natural variations and the human impact on the environment. Topics covered include: watershed hydrology, regional and local groundwater flow, water chemistry, and management of water resources. Lectures and laboratory. Cross-listed with CEE 316",Sustainability-inclusive,CEE 316
Earth & Environmental Sciences,Remote Sensing of Terrestrial and Aquatic Environments,EES 325,EES,325,All offerings,"Techniques of observing the Earth from air- and space-borne instruments, including issues of geometry and scale associated with making measurements, electromagnetic properties of Earth surface materials, the range of instruments used to observe the Earth, image interpretation, and applications of satellite remote sensing to geological, ecological, and environmental questions. Lecture and lab.",Sustainability-inclusive,
Earth & Environmental Sciences,Topics in Earth & Environmental Science,EES 372,EES,372,All offerings,"Believe it or not, chemistry plays a huge role in all ecosystems by driving animal behavior, nutrient turnover, wildfires, habitat health, and so much more! Utilizing lectures, discussions, and available primary literature, we will explore the topics within chemical ecology beginning with understanding both above and below ground chemical plant-plant and plant-animal communication. This initial introduction will focus on the types of chemicals found in various plant sources and the ecological aspects influencing the type and potential impact of each (including but not limited to fire, local fauna, and human disturbance). From there, we will expand to include farther-reaching impacts of these chemicals on the habitat, range, and ecosystems (and how that's also influenced by the alterations of behavior in organisms due to the chemical constituents of the landscape, and the cascade effects of such behavioral modifications). We will also discuss methods by which organisms are able to overcome certain plant defenses, some utilizing it as defenses themselves for their own benefit.",Sustainability-inclusive,
Earth & Environmental Sciences,Topics in Earth & Environmental Science: Mountain Belts,EES 372,EES,372,All offerings,"Broad exploration of mountains, how they are formed, their structural and metamorphic hearts, how they erode, the hazards they generate, and their impacts on global change and biodiversity. Lectures, seminars, and field trips. Students who do not have the EES 200 prerequisite may email the instructor for consideration.",Sustainability-inclusive,
Earth & Environmental Sciences,Wetland Ecology,EES 386,EES,386,All offerings,"Ecology of wetlands and factors controlling wetland structure and function. Responses and feedbacks of wetlands to natural and human-induced environmental variability. Topics include wetland classification and delineation, origin and development of wetlands, biotic adaptations to the wetland environment, wetland hydrology, wetland biogeochemistry and microbial communities, wetland vegetation dynamics, and wetland restoration. Lectures, laboratories, applied activities, and field trips.",Sustainability-inclusive,
Earth & Environmental Sciences,Climate and Earth System Modeling,EES 395,EES,395,Specific offerings,"This course will introduce basic principles of meteorology and climate necessary to understand earth system models. We will explore how to model different components of the earth system, including the atmosphere, ocean, land surface, carbon cycling, sea ice, and land ice. Students will use a range of software to provide hands-on experience with different types of models, ranging from Energy Balance Models (EBMs) to Earth System Models of Intermediate Complexity (EMICs) and Global Climate Models (GCMs). Applications will include paleoclimate modeling, validating to present-day climate, and future projections.",Sustainability-inclusive,
Earth & Environmental Sciences,Scientific Foundations for Environmental Policy Design,EES 402,EES,402,All offerings,"This course explores the science behind the environmental issues that bear on policy process at local, national and global scales. The course delves into the science of selected environmental issues that have either arisen from anthropogenic activities, that impact social systems, or that help policy-makers understand the consequence of different policy options. The course consists of readings and discussions of timely topics and one major project.",Sustainability-focused,EVST 402
Earth & Environmental Sciences,Physical and Chemical Processes at the Earth’s Surface,EES 411,EES,411,All offerings,"An advanced treatment of physical and chemical processes and their interaction in the critical zone. Quantitative methods, modeling, and process-oriented approaches are presented in a systems context from the meter, to watershed, to continental scale. Topics include weathering and soils, chemical and physical fluxes from watersheds, and global hydrology and erosion.",Sustainability-inclusive,
Earth & Environmental Sciences,Advanced Fluvial and Tectonic Geomorphology,EES 412,EES,412,All offerings,"Lecture, seminar, lab, and field-based investigation of the classic and contemporary geomorphologic literature using the processes and evolution of a watershed and its dynamic interaction with tectonics as a integrative common theme. Topics change according to student interest but typically include active tectonics, fluvial processes, landscape response to climate, and biogeomorphology. Include ArcGIS training, field trips, flume analogue modeling, and class projects with the goal of a published paper.",Sustainability-inclusive,
Earth & Environmental Sciences,Human-Climate Interactions,EES 446,EES,446,All offerings,"This course explores climatic impacts of human activity, along with feedbacks between climate change and the land/sea surface, hydrology, productivity, etc., in the context of assessing both the causes and societal consequences of climate change. Such consequences include storm frequency, SSTs, floods/droughts, sea level rise, etc. Emphasis is placed on understanding the processes controlling climate response greenhouse gases, land cover, and land-atmosphere / ocean-atmosphere mass and energy exchanges.",Sustainability-focused,
English,Freshman Seminar in English,ENGL 090,ENGL,090,Specific offerings,"Believe it or not, Bethlehem was one of early America’s most extraordinary communities. Eighteenth-century Bethlehem was a racially-integrated and egalitarian town: Whites, Blacks, and Native Americans lived, worked, and worshiped alongside one another. It had a communal economy and the large stone dormitories in which everybody lived (no private homes!) still stand on the north side of the river. (We will visit this original settlement on a field trip.) This seminar will explore the early history of the town in which you will live for the next few years, with special attention to the complicated histories of Black and Indigenous people here. In addition to thinking about what this experiment in eighteenth-century Bethlehem can teach us about today's world, we will examine how the city remembers (or forgets) its own past.",Sustainability-inclusive,
English,Freshman Seminar in English,ENGL 090,ENGL,090,Specific offerings,"Eighty years of excessive use of antimicrobials has led to a rise in antimicrobial resistance (AMR) with projections that by 2050 10 million people per year could die due to drug-resistant infections. This seminar will provide an immersive introduction to AMR from diverse perspectives: biology, epidemiology, engineering, history, ethics, anthropology, and literature. We will learn everything from the basic microbiology of bacteria to the mechanisms engineered to treat their infections. In the lab we'll practice environmental sampling and grow, identify, and test the resistance of these microbes. Class readings will include scientific studies along with comics, poetry, fiction, histories, and video games to understand how the language and representations of microbes, antibiotics, and AMR have changed over time. Importantly, we will consider the role of popular culture in expressing and shaping public awareness of AMR. In 2013, the US CDC declared that we are now in “the post-antibiotic era"". But, what does it mean to live in a “post-antibiotic” world? How did we get here, and what can we do about it?",Sustainability-inclusive,
English,Freshman Seminar in English,ENGL 090,ENGL,090,Specific offerings,"One of the most pressing issues in the contemporary world is our relationship with nature. With increasingly powerful hurricanes and record temperatures becoming the norm, climate change has become hard to ignore. Tied to it are a wide variety of other environmental issues, such as population growth, food production, clean water and air, social justice, and consumerism in general. In this course, we will consider a wide variety of works of literature to see what they have to tell us about these issues. These works will include novels by T.C.Boyle and Ruth Ozeki, as well as essays and non-fiction, starting with excerpts from Thoreau, and working our way through Muir, Leopold, Carson, Kingsolver, and McKibben. In addition, I hope to find time for a trip along some local forest paths or a local farm. In the end, students will have read and thought about the natural world in ways that enable us to live in harmony with the earth and the humans who inhabit it. If we are going to sustain life on this earth, these are issues we must confront.",Sustainability-inclusive,
English,Special Topics in English,ENGL 091,ENGL,091,Specific offerings,"As performer and reality-television star RuPaul once said, “We're all born naked, and the rest is drag.” But what exactly does this mean and do we agree? How do clothing, embodiment, affect, and performance give gender meaning? How does gendered performance intersect with race and social class? This class looks to a long literary history to explore these questions. We will place shows and films including Drag Race, Work in Progress and Paris is Burning alongside gender-bending plays by Shakespeare and his contemporaries, medieval and early modern trans and nonbinary life-stories, and explorations of gender by a wide range of authors including Miguel de Cervantes, Virginia Woolf, and Octavia Butler. We will focus not only on drag’s potential to undo or complicate gender binaries, but also on how it has been used, perhaps paradoxically, to reinforce rigid models of gender.",Sustainability-inclusive,
English,Special Topics in English,ENGL 091,ENGL,091,Specific offerings,"Recently, the biographical narrative, Dahmer – Monster: The Jeffrey Dahmer Story surpassed one billion hours viewed, a feat that puts the docudrama as one of the most streamed series on Netflix. Given that the narrative is based on the real-life events of Jeffrey Dahmer’s life and the killings of his victims, the show received backlash from the families of the victims as well as the general public. In response, our course interrogates the ethics of portraying serial violence in dramatic and repetitive representations. In watching Silence of the Lambs (1991; Orion Pictures), Mindhunter (2017; Netflix), & Dahmer – Monster: The Jeffrey Dahmer Story (2022; Netflix), this course will ask the question, how should the violence of these horrible crimes, often based on real-life events, be portrayed, if at all? What does it mean to queer violent offenders in these dramatized realms? Should the ethos of the storytellers impact our intake as we consider whether the form and iteration of violent offenders is art? What draws so many viewers to watch, listen, and read about serial violence in the first place? Our own writing and readings of secondary sources will parse through these complicated questions.",Sustainability-inclusive,
English,Special Topics in Gender Studies,ENGL 104,ENGL,104,All offerings,"As the United States moves past questions about affirmative consent in high schools and college campuses, how do contemporary novels, some geared toward young adults, treat the topic? This course will give students the opportunity to think critically about the language--legal and otherwise--around consent and then consider how novels respond to that language and the concepts of consent, especially in the context of high school and college years. Students will engage in asynchronous conversations with one another around the topics and post blogs for each novel. Novels may include The Mockingbirds, Girl Made of Stars, and Beautiful Disaster. Cross-listed with WGSS 104",Sustainability-inclusive,WGSS 104
English,"Topics in Literature, Medicine, and Health",ENGL 115,ENGL,115,All offerings,"Are we our bodies? How has the way we think about bodies shaped medical thought and practice over time? How have we culturally come to define a “normal” body, and how does that idea impact the way we move through the world? This class will use interdisciplinary methods to explore what our bodies (and the idea of the body) mean to us, with a focus on how imaginative science fiction and horror narratives can help us answer these questions. Through a health humanities lens we will study texts from a range of disciplines - medicine, history, bioethics, philosophy, digital humanities, media studies, and fiction - about bodies and embodiment. We will first chart depictions and expectations of the body in the history of medical knowledge, from Ancient Greek anatomical drawings to Victorian grave robbers who sold corpses for research, to Digital visions of the body as a medical object like the Visible Human Project (1994). We will then consider how fiction can illuminate cultural and ethical issues surrounding the body, our shared fears related to the body and selfhood, and issues of social justice, equality, and embodiment. Likely fiction readings include John Campbell’s “Who Goes There?” (1938), Agustina Bazterrica’s Tender is the Flesh (2020), Carmen Maria Machado’s Her Body and Other Parties (2017), and works by Isaac Asimov; non-fiction readings will include Stiff (2003) by Mary Roach. Likely film assignments include The Thing (1982), Invasion of the Body Snatchers (1956), Get Out (2017), Annihilation (2018), Her (2013), and Transcendence (2014).",Sustainability-inclusive,HMS 116
English,Special Topics in English,ENGL 191,ENGL,191,Specific offerings,"In this class, we will examine queer or,g,n stories from around the world by examining fiction, various other cultural artifacts and activism to understand how stories contribute to the creation of what we might call a global queer-lore.
lore (n.) a body of traditions and knowledge on a subject or held by a particular group, typically passed from person to person by word of mouth. (oxford Dictionary)
For queer communities, origin stories play a pivotal role in finding belonging in a world of unbelonging, articulating oneself. For many, within and outside of the LGBTQ2+ community, Stonewall marked a pivotal moment for Gay liberation, a story of empowerment, hope, and revolution. An origin story of sorts. Yet, Stonewall represents only a fragment of the story of what accounts for the creation of the queer community-a world of origin stories exists for us to study in the hopes that we might shift the narrative. Thus, in this class, we will examine queer origin stories from around the world by examining fiction and various other cultural artifacts to understand how stories contribute to the creation of what we might call a global queer-lore.",Sustainability-inclusive,
English,Special Topics in English,ENGL 191,ENGL,191,Specific offerings,"This course will introduce students to works by diverse contemporary LGBTQ+ poets from the U.S. Through analysis of poetry, we will explore how LGBTQ+ writers address a variety of topics, including the impact of homophobia, biphobia, and transphobia as well as the resiliency and resources of LGBTQ+ communities. Further, we will read aesthetic works that reflect upon intersecting forms of oppression as poets discuss the impact of colonialism, systemic racism, poverty, and ableism. We will read works by Audre Lorde, Adrienne Rich, Chrystos, John Elizabeth Stintzi, Danez Smith, Jericho Brown, Natalie Diaz, Fatimah Asghar, Ocean Vuong, Sam Sax, Thom Gunn, Leah Lakshmi Piepzna-Samarasinha, Pat Parker, Gloria Anzaldúa, Mark Doty, Chen Chen, and Xandria Phillips, among others. Ultimately, the course will give students the
opportunity to think with poets about pressing challenges that LGBTQ+ people face in the U.S.as well as to engage with poets’ visionary aesthetic works that call for and imagine social change.",Sustainability-inclusive,
