Department,College,Credits,Course,Program,CourseCode,Crosslist,CourseName,CourseDescription,Attributes
Electrical & Computer Engineering,Engineering,3,ECE 328,ECE,328,ECO 328,Electricity Economics ,"The course is intended primarily for students who are interested in an exploration of electricity markets around the world, risk management, operation, and the main considerations in the wake of a smart grid implementation as well as in the transition to a low carbon economy.","CC, Q, SS"
Economics,Business,3,ECO 203,ECO,203,,Inclusive Finance and Economic Development ,"Non-technical survey of the global inclusive finance sector, which provides financial services to the poor at large scale, mostly in developing nations. Historical origins and industry evolution. Nature and developmental role of microenterprises and informal finance. Methods and technologies used by microfinance institutions and other inclusive finance providers. Case studies. The lives of clients. Policy and regulatory environments. Debates over profiting from the poor, and over health and environmental goals. Conflicting evidence on economic and social impact. Meetings with practitioners.","CC, SS, SW"
Economics,Business,3,ECO 234,ECO,234,,The Economics of Gender and Race ,"In this course, students will explore, through mass media and documentaries, current socioeconomic issues and policies concerning race and gender in the United States and around the globe. Students will employ economic theory at the introductory level and will explore and analyze empirical evidence to complement the theories.","CC, SS, SW"
Economics,Business,3,ECO 303,ECO,303,,Economic Development ,"Economic development, economic growth and their political environment are discussed in detail. The principal economic development theories are examined. These theories are used to examine a variety of development issues including planning, poverty, rural-urban relationships, physical and human capital accumulation, international trade, and the environment. Emphasis on institutions and development policy.","CC, SS, W"
Economics,Business,3,ECO 304,ECO,304,,Economic Growth ,"A theoretical and empirical examination of economic growth and income differences between countries. The course focuses on both the historical experience of countries that are currently rich and the process of catch-up among poorer countries. Topics include population growth, the accumulation of physical and human capital, technological change, natural resources, income distribution, geography, government and culture. The course will involve extensive mathematical, analytical, verbal, and communication skills, those typical of any rigorous upper-level undergraduate economics course.","CC, SS, W"
Economics,Business,3,ECO 310,ECO,310,,Environmental and Resource Economics ,"The goal of the course is to survey major areas of research in environmental and resource economics, both theoretically and in empirical settings. The class is divided into three parts. (1) Environmental Policy Design. (2) Introduction to Climate Change Economics. (3) Empirical Measurement. The class will combine lectures and discussion about the readings assigned.","CC, Q, SS"
Economics,Business,3,ECO 311,ECO,311,,Environmental Economics ,Resource allocation implications of environmental degradation. Analysis of the benefits and costs associated with alternative pollution control programs and strategies.,"CC, Q, SS"
Economics,Business,3,ECO 314,ECO,314,,Energy Economics ,The economic theory of natural resource allocation over time. Economics of exhaustible and renewable resources. Environmental effects of energy production and consumption. Government regulation of the energy industry. Computer models for energy system forecasting and planning.,"CC, Q, SS"
Economics,Business,3,ECO 328,ECO,328,ECE 328,Electricity Economics ,"The course is intended primarily for students who are interested in an exploration of electricity markets around the world, risk management, operation, and the main considerations in the wake of a smart grid implementation as well as in the transition to a low carbon economy.","CC, Q, SS"
Economics,Business,3,ECO 336,ECO,336,,"Antitrust, Regulation, and the New Economy ","Analyzes government responses to market power by examining antitrust policy and the regulation of natural monopoly. Focus in antitrust is on price-fixing, mergers, and dominant firms, and includes an introduction to the economics of platforms that highlights the new challenges they present. Analysis of regulation is focused on the problem of setting prices for a natural monopoly, on theories of regulation, and on the difficulties of deregulating.","CC, Q, SS"
Economics,Business,3,ECO 345,ECO,345,,Political Economy of Iraq ,"An examination of the economic, political and social forces at work in Iraq with emphasis on the post-2002 period. Major topics include recent history and culture, petroleum production and transport, corruption, agricultural transition, rural-urban divergence, unemployment, poverty, the economic and political role of the state owned enterprises, entrepreneurship and the informal economy, banking, and monetary, exchange rate, and fiscal policies.","CC, SS"
Economics,Business,3,ECO 358,ECO,358,,Game Theory ,"This course introduces students to a set of tools that economists, among others, use to analyze strategic interactions among individuals, firms, nations, etc. The coverage of theories begins with single-person decision-making and extends to games (multi-person interactive decision-making) under various strategic and informational environments. Theories will be supplemented with a variety of applications, which include competitive pricing in oligopolistic markets, tragedy of the commons, bidding behavior in auctions, bargaining, voting and electoral competition, and strategic use and transmission of information.","CC, Q, SS"
Earth & Environmental Sciences,Arts & Sciences,3,EES 002,EES,002,EVST 002,Introduction to Environmental Science ,"Focuses on natural and human-induced drivers and consequences of environmental change. Exploring options for mitigating and adapting to environmental change in ecosystems, physical and social systems, the course examines such topics as biogeochemical cycles, population pressure, ecosystem diversity, productivity and food security, energy, water resources, climate change, pollution, ozone, urban issues and sustainability. Stresses interactions using case studies. Intended for any student with an interest in the environment. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 014,EES,014,,Lands of the Midnight Sun ,"Investigations of polar exploration and science, the environment at high latitudes, and cultures of the Arctic, as well as discussion of issues related to understanding interactions among extreme environments, global change, pollution, and indigenous cultures. Lecture, discussion, classroom activities. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 015,EES,015,,Volcanoes and the Ring of Fire ,"Volcanoes are a tangible, often breathtaking, reminder of the inner workings of our restless planet. In this course, we consider the processes leading to volcanic eruptions, the significance of volcanism for long-term Earth evolution, and the hazards volcanoes create for humans, particularly those living in the circum-Pacific (the Ring of Fire). May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 016,EES,016,,Geology of War ,"Introduction to Earth and Environmental Sciences through a study of the resource and environmental change causes of human conflict. Earth and Environmental Science basis for permanent and contingent operating factors during war. Instructional format includes lectures, discussions, student projects, and a field trip to Gettysburg National Military Park. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 021,EES,021,,Dynamic Earth ,"Processes within the Earth and dynamic interactions between the solid earth, the atmosphere, and the oceans. Lectures. May be combined with EES 022 or EES 004.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 023,EES,023,,"Weather and Climate: Past, Present, and Future ","Introduction to the basic principles of meteorology, as they pertain to past, present, and future climates. Earth’s energy balance; cloud formation and precipitation; winds and atmospheric circulation; regional climatologies; past warm periods and ice ages in Earth’s history; the latest ideas about future climate change and global warming. Students will maintain a weather notebook to enable them to relate theory to observations from real weather data. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 024,EES,024,,Earth's Climate from the Dinosaurs to the Day After Tomorrow ,"Examination of Earth's past, present, and future climate. Introduction to the components of Earth's climate system and how they interact with one another. Exploration of changes in Earth's climate from today all the way back to when the dinosaurs roamed the Earth. Application of knowledge about past climates in evaluating humanity's role in modern and future climate change. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 025,EES,025,,Observing and Studying Nature ,"Introduction to the basics of studying nature, focusing on regional biodiversity. This course will familiarize participants with the common plants and animals in the Lehigh Valley and provide tools to interact with natural ecosystems and conserve biodiversity. A combination of lectures, classroom discussion, and outdoor activities. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 026,EES,026,,"Energy – Origins, Impacts, and Options ","Critical assessment of current and predicted energy resources used by humans, including their origins, distribution, environmental impacts, and feasibility. Lectures, discussion, field trips. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 027,EES,027,,Natural Hazards: Impacts and Consequences ,"Earthquakes, volcanoes, tsunamis, floods, and hurricanes are a natural part of the Earth and our environment. These events have violent consequences for our lives and significant economic implications. This course examines the causes, predictability, and risk mitigation for these events. We will also consider how natural disasters are represented by popular media and whether this helps or hurts public understanding of our dynamic planet and our relationship to it. May be combined with EES 022 or EES 004 for 4.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 028,EES,028,,Conservation and Biodiversity ,"An introduction to the science of conservation biology. We examine the evolution of biodiversity on earth, spatial patterns of biodiversity, the impact of human activities on biodiversity, and assess strategies for the management and conservation of biodiversity. Students gain the scientific literacy necessary to make informed decisions about topics such as wilderness preservation, species conservation, and land use. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 029,EES,029,,Human Health and the Environment ,"An introductory course that explores the connections between the environment and human health. Topics related to human health include climate change, energy production, genome-environment interactions, zoonotic disease, and drinking water chemistry. Introduction to the disciplines of geochemistry, ecology, geospatial data analysis, environmental epidemiology, toxicology, risk assessment, and exposure science. Course format includes a combination of lectures on fundamentals and seminar style topical readings. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,3,EES 034,EES,034,,"Global Changes, Microbial Forces ","This course investigates how microbes that are invisible to the naked eye play highly influential roles in global environmental change. We will explore these phenomena in terrestrial and aquatic systems, from urban to remote regions. We will conclude by examining ways to harness the power of microbes to combat facets of global change. May be combined with EES 022 or EES 004 for 4 credits.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,1-4,EES 072,EES,072,,Topics in Earth and Environmental Science ,Study of topics in earth and environmental science not covered in other introductory courses. Primarily used for transfer credit. Consent of instructor required.,"CC, NS, NW, Q, W"
Earth & Environmental Sciences,Arts & Sciences,2,EES 076,EES,076,,Lehigh Launch: Western Wildlife and Conservation Biology ,"In this course, grounded in the field of conservation biology, students will learn about the natural history and survival science for a variety of wildlife in the Intermountain West. Scientific analysis, exploration and observation throughout the course will offer students an opportunity to learn about native and non-native species, historical and current management issues, and how humans and wildlife intersect in the American West. This is a place-based course. For Lehigh Launch students only.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,"0,4",EES 080,EES,080,,Introduction to the Earth System ,"Study of the earth system, including the atmosphere, biosphere, geosphere, and hydrosphere and their interactions (e.g., plate tectonics, biogeochemical cycling, climate, anthropogenic impacts). The course is designed to prepare students for a major in EES and includes a lab that develops important skills including data analysis, modeling, use of maps and geospatial data, and field work. Lectures and lab. Open to declared EES majors and minors. Also open to intended majors and others by departmental permission.","CC, NS, Q, W"
Earth & Environmental Sciences,Arts & Sciences,1-4,EES 091,EES,091,,Special Topics ,Intensive study of a topic of special interest not covered in other 0-level course.,"CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,1-2,EES 093,EES,093,,Freshman Supervised Internship in Earth and Environmental Sciences ,"Experiential learning opportunities supervised by EES faculty, including fieldwork, data collection or analysis, literature review, and information management. A maximum of two credits is allowed. Consent of supervising faculty required.","CC, Q, W"
Earth & Environmental Sciences,Arts & Sciences,"0,4",EES 102,EES,102,,Environmental Science and Sustainability ,"An examination of how the Earth and environment sustain human health and well-being, how our actions support and conserve or disrupt and deplete natural systems and resources, and how environmental impacts are distributed globally and socioeconomically. Focus on scientific inquiry, quantitative reasoning, evidence based decision making, cultivating curiosity, and the challenges and opportunities of living sustainably. Active learning and case studies. Required for registration: completion of at least 1 credit of any EES course.","CC, LS, NS, NW, Q

,"
Earth & Environmental Sciences,Arts & Sciences,"0,4",EES 131,EES,131,,Introduction to Rocks and Minerals ,"Hand-specimen identification of the major mineral groups and rock types. Atomic structure of minerals; relationship of mineral structure to chemical and physical properties. Placement of igneous, sedimentary, and metamorphic rocks into a plate tectonics context. Introduction to optical mineralogy and x-ray diffraction techniques. Lectures, laboratories, field trips.","CC, NS, NW"
Earth & Environmental Sciences,Arts & Sciences,"0,4",EES 152,EES,152,,Ecology ,"The study of relationships among organisms and their physical environment. Ecology of individual organisms, populations, communities, ecosystems, landscapes, and the biosphere. Topics include organism adaptations and natural selection, life histories, population growth and dynamics, species interactions, energy flow, nutrient cycling, and ecological impacts of human activities. Field-based laboratories focus on the quantitative study of biological populations and communities. Lectures, field-based laboratories, and applied activities.","CC, NS, NW, Q"
Earth & Environmental Sciences,Arts & Sciences,1-4,EES 191,EES,191,,Special Topics ,Intensive study of a topic of special interest not covered in other 100 level course.,"CC, NS, NW, Q, W"
Earth & Environmental Sciences,Arts & Sciences,1-4,EES 291,EES,291,,Special Topics ,Intensive study of a topic of special interest not covered in other 200 level courses.,"CC, NS, NW, Q, W"
Earth & Environmental Sciences,Arts & Sciences,1-4,EES 293,EES,293,,Supervised Internship in Earth and Environmental Sciences ,"Individual or group internship supervised by EES faculty. May include data collection, analysis, literature review, information management, and sharing of results.. Student and supervisor agree on work plan and credits. Maximum of four credits of EES 293 and no more than eight credits combined from EES 093, EES 293 and 393 may be applied to EES B.A. and B.S. degrees. Written report or presentation at the undergraduate symposium required for projects of 3 or more credits. Consent of supervisor required.","CC, NS, Q, W"
Earth & Environmental Sciences,Arts & Sciences,0-4,EES 318,EES,318,,Geographic Analysis in EES ,"Techniques for acquisition, manipulation and integration of data in Geographic Information System (GIS) environment, with emphasis on statistical and spatial analysis. Traditional and digital maps, spatial data collection and integration, geodesy concepts and time series analysis will be applied to case studies and projects relevant to Earth sciences, environmental sciences, and other disciplines according to the diversity of the audience. Different OS platforms and software will be used throughout the course. Includes lectures and laboratory exercises.","CC, NS, Q"
Earth & Environmental Sciences,Arts & Sciences,0-4,EES 325,EES,325,,Remote Sensing of Terrestrial and Aquatic Environments ,"Techniques of observing the Earth from air- and space-borne instruments, including issues of geometry and scale associated with making measurements, electromagnetic properties of Earth surface materials, the range of instruments used to observe the Earth, image interpretation, and applications of satellite remote sensing to geological, ecological, and environmental questions. Lecture and lab.","CC, NS, Q"
Earth & Environmental Sciences,Arts & Sciences,6,EES 341,EES,341,,Field Camp in Earth and Environmental Sciences ,"Integrated, capstone field experience for Earth and Environmental scientists using the diverse natural settings of the Rocky Mountains as the classroom. Projects challenge students to synthesize field data in solving real science problems. Projects include but not limited to classic and computer-based geologic mapping, section measuring, structural analysis, stream hydrology, sediment transport. Five weeks in the field; summer session. Students must apply through the Lehigh Field Camp Program, consent of Field Camp director required. Must have declared major in EES.","CC, NS, Q"
Earth & Environmental Sciences,Arts & Sciences,4,EES 343,EES,343,,Climate and Earth System Modeling ,"Introduction to the basic principles of meteorology and climate necessary to understand Earth system models and future global change. Students will use a range of software to provide hands-on experience with different types of models, ranging from Energy Balance Models (EBMs) to Earth System Models of Intermediate Complexity (EMICs), and Global Climate Models (GCMs) applied to the atmosphere, ocean, land surface, carbon cycling, and ice. Lecture and recitation.","CC, NS, Q"
Earth & Environmental Sciences,Arts & Sciences,0,EES 358,EES,358,,Microbial Ecology ,"The role of microorganisms in the environment. Topics include: Survey of microbial classification, diversity, structure, assembly, and metabolism; study of microbes at population, community, and ecosystem levels of organization; the roles of biotic interactions and abiotic parameters in driving the ecology and evolution of microorganisms; state-of-the-art methods to investigate complex microbial assemblages in terrestrial, marine, and subsurface environments; application of microbes to bioremediation and resource recovery problems.","CC, NS, W"
Earth & Environmental Sciences,Arts & Sciences,0-4,EES 376,EES,376,,Geochemistry of Natural Waters ,"Introduction to aqueous geochemistry. Applications of thermodynamics, mass balance, systems science, and kinetics to understanding mineral-water interactions in natural aquatic systems on a variety of spatial and temporal scales. Laboratories emphasize analytical and computer methods. Lectures, and seminar/laboratory.","CC, NS, Q"
Earth & Environmental Sciences,Arts & Sciences,"3,4",EES 387,EES,387,,Sustainability in Latin America ,"Seminar discussing issues surrounding environmental sustainability in Latin America and the Caribbean from a holistic, interdisciplinary perspective. Introduction to the three legs of sustainability and sustainable development theory, as well as the ecology and evolution of biodiversity in the American tropics. Use of published primary literature and podcasts to explore the particular complexities of Latin American sustainable development, and analysis of case studies in which environmental issues were either championed or de-emphasized. Readings, discussions, and one major project.","CC, W"
Earth & Environmental Sciences,Arts & Sciences,1-4,EES 391,EES,391,,Special Topics ,Intensive study of a topic of special interest not covered in other 300 level courses.,"CC, NS, NW, Q, W"
Earth & Environmental Sciences,Arts & Sciences,1-4,EES 393,EES,393,,Supervised Research in Earth and Environmental Sciences ,"Individual student research guided by faculty, including a research proposal. If three or more credits are applied to a single project it must be presented at the undergraduate research symposium with the option to also write a thesis. Both the proposal and thesis are filed with the EES Department. No more than eight credits may be applied to EES B.A. and B.S. degrees (additional credits apply to free electives). Committee optional, but required for department honors.","CC, NS, Q, W"
English,Arts & Sciences,4,ENGL 045,ENGL,045,,Conspiracy and Paranoia ,"Conspiracy theories seem to be everywhere these days--everywhere, of course, except in our own heads. Why does everybody else seem so paranoid? Can we tell an actual conspiracy from a crazy conspiracy theory? This class will use recent literature and some films to explore why everybody resorts to conspiratorial thinking and paranoid explanations for events large and small.","CC, HE, W"
English,Arts & Sciences,4,ENGL 060,ENGL,060,THTR 060,Dramatic Action ,"How plays are put together; how they work and what they accomplish. Examination of how plot, character, aural and visual elements of production combine to form a unified work across genre, styles and periods. Recommended as a foundation for further studies in design, literature, or performance.","CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 065,ENGL,065,THTR 065,Introduction to Playwriting ,"An introduction to writing for the stage, with an emphasis on creating characters, exploring story and structure, experimenting with theatrical language, and working within the context of theatrical history and the wider world. This course combines in-class exercises with seminar-style discussion of the student's work.","AL, CC, HU, W"
English,Arts & Sciences,1-4,ENGL 091,ENGL,091,,Special Topics ,"A topic, genre, or approach in literature or writing not covered in other courses.","CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 102,ENGL,102,"AAS 102, JST 102, REL 102",Promised Lands: Jewish and African American Children's Literature ,"In the Hebrew Bible, Psalm 137 asks, “How can we sing the Lord’s song in a strange land?” For Jews, blacks, and black Jews, this was and is a poignant question. This course examines how these two rich, often overlapping and interacting groups tell their stories in literature for children and young adults, with a particular focus on the mediation of traumatic pasts. What does it mean to imagine promised lands beyond such pasts—and can they be reached?","CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 104,ENGL,104,WGSS 104,Special Topics in Gender Studies ,"This course will involve extended study in a sub-area of English language culture, and literature with a focus on gender, sexuality, and/or race/ethnicity.","CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 124,ENGL,124,,American Literature II ,Masterpieces of American literature from the middle of the 19th century to the present.,"CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 125,ENGL,125,,British Literature I ,British literature and literary history from Beowulf through the Pre-Romantics.,"CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 127,ENGL,127,THTR 127,History of Theatre I ,A multi-cultural survey of dramatic literature and theatrical practice from its ritual origins to the 18th century.,"CC, HE, HU"
English,Arts & Sciences,4,ENGL 128,ENGL,128,THTR 128,History of Theatre II ,A multi-cultural survey of dramatic literature theatre and theatrical practice from the 18th century to the present day.,"CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 151,ENGL,151,"FILM 151, GS 151",Global Cinema ,"This course introduces students to contemporary filmmakers from Asia and Africa who have been inspired by globalization, dealing with issues such as mass migration, ethnic conflict and civil war, transnational finance and technology, and ongoing social and economic inequities. The course will be divided into four geographical units, with a representative mix of art films, popular genres (Bollywood and Nollywood), and global science fiction and horror. Filmmakers may include Mira Nair, Farah Akhtar, Bong Joon-ho, and Asghar Farhadi, among others.","CC, HE, HU, W"
English,Arts & Sciences,1-4,ENGL 191,ENGL,191,,Special Topics ,"A topic, genre, or approach in literature or writing not covered in other courses.","CC, HE, HU, W"
English,Arts & Sciences,1-4,ENGL 291,ENGL,291,,Special Topics ,"A topic, genre, or approach in literature or writing not covered in other courses.","CC, HE, HU, W"
English,Arts & Sciences,4,ENGL 302,ENGL,302,"GS 302, LAS 302, MLL 302",Travel and Adventure in Latin American Fiction ,"Centering on a corpus of works presenting tales of travel and adventure, this class offers an overview of Latin American narrative genres (including “fantastic” narrative, magical realism, and postmodern fiction) from the mid 20th century to present day. Through close readings of works by Adolfo Bioy Casares and Roberto Bolaño, among others, and the analysis of filmic representations of travel in Latin America, we will examine differing modes of perceiving the region defined as Latin America.","CC, HE, HU"
English,Arts & Sciences,4,ENGL 303,ENGL,303,"FILM 303, GERM 303, MLL 303, WGSS 303","Grimms' Fairy Tales: Folklore, Feminism, Film ","This intercultural history of the Grimms' fairy tales investigates how folktale types and gender stereotypes developed and became models for children and adults. The course covers the literary fairy tale in Germany as well as Europe and America. Versions of ""Little Red Riding Hood"", ""Cinderella"", or ""Sleeping Beauty"" exist not only in the Grimms' collection but in films and many forms of world literature. Modern authors have rewritten fairy tales in feminist ways, promoting social change. Taught in English. German language students may receive a German component.","CC, HE, HU, W"
English,Arts & Sciences,3,ENGL 304,ENGL,304,WGSS 304,Special Topics in Gender Studies II ,"This course will involve extended study in a sub-area of English language, culture, and literature with a focus on gender, sexuality, and/or race/ethnicity.","CC, HE, HU, W

"
English,Arts & Sciences,3,ENGL 315,ENGL,315,HMS 315,"Topics in Literature, Medicine, and Health ","Analyzing the stories people tell about health, illness and disability, this course engages cultural studies approaches in order to explore the way those stories are told. Topics may include: illness and the graphic novel, the changing image of the healer in literature, collaborative storytelling with Alzheimer’s patients, end of life narratives, tales from the ER, narrative ethics.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 318,ENGL,318,AAS 318,Topics in African American Literature and Culture ,"Topics in African-American culture and/or the cultures of the African diaspora. Topics may be focused by period, genre, thematic interest or interdisciplinary method including, for example, Nineteenth-century African-American Literature and Politics; African-American Folklore; Black Atlantic Literature; The Harlem Renaissance; and African-American Women Writers.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 320,ENGL,320,AAS 320,Imagining Freedom: 19th-Century African American Literature and Politics ,"In the midst of slavery and its violent aftermath, African Americans dreamed of freedom. These imaginings of freedom are among the richest cultural legacies of the American people and a necessary part of any effort to understand our nation’s contradictory history. Students will read slave-narratives, novels, poems, protests against slavery and lynching, demands for political rights and women’s equality, calls for slave rebellion and appeals for inter-racial cooperation. Readings include Frederick Douglass, Harriet Jacobs, Sojourner Truth, Harriet Wilson, Charles Chesnutt.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 325,ENGL,325,AAS 325,"The Harlem Renaissance: Early 20th-Century African American Literature, Art and Politics ","Explore the extraordinary flowering of African American literary, artistic and political life in the early 20th century. Study masterpieces of African American literature, music, visual art, and political imagination. Consider how artists and activists represented the diversity of Black life in America and reimagined race relations during the Jim Crow era. Learn how works by Langston Hughes, Zora Neale Hurston, Bessie Smith, Aaron Douglas and many others can assist us in realizing the promise of racial justice.","CC, HE, HU, W"
English,Arts & Sciences,3,ENGL 327,ENGL,327,,Major Medieval Writers ,"Study of major medieval writers. Titles include The Canterbury Tales; Early Chaucer and the Continental Tradition, and Langland’s Piers Plowman.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 328,ENGL,328,THTR 328,Topics in Shakespeare ,"This class explores why Shakespeare’s plays and poems still resonate today. We will focus in particular on how Shakespeare’s plays have been used to explore questions of gender, race and social class. We’ll read some of the “greatest hits” as well as a few lesser-known works, focusing first on how these texts were understood in the time they were written and then on why and how they inform our perspective today.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 329,ENGL,329,,Special Topics in Shakespeare and Film ,"This course explores how Shakespeare’s plays have been adapted into film. Despite being most celebrated for his language, Shakespeare’s work has been translated into the visual medium of cinema since the era of silent film -- and his popularity shows no sign of slowing down. The course pairs plays with multiple film adaptations, which use Shakespeare to explore contexts including Feudal Japan, Soviet Russia, Wall Street, and more.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 331,ENGL,331,,Milton ,"An introduction to John Milton’s poetry and prose emphasizing close reading and cultural contexts. Half of the course will be devoted to Paradise Lost, and particular attention will be paid to politics, religion, and gender.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 341,ENGL,341,EVST 341,Contemporary US Literature of Environmental Crises ,"This course addresses how contemporary US literature depicts toxic America and the environmental crises as well as the human (and other animal) tragedies that result from a variety of contemporary practices that deny connectivity to/dependence upon ecosystems. Students will engage with some of the most important novels written in the contemporary period that call readers to address human impact on the environment, to imagine alternative &amp; less ruinous ways of being in the world, and to imagine more sustainable futures.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 345,ENGL,345,WGSS 345,Women and Revolution in Early America ,"This course explores how opportunities and possibilities for women transformed (or remained the same) during the long eighteenth century. Which early American women could participate in public life and under what circumstances? Did early American values such as liberty and independence extend to women—and to which women? Which women, if any, felt like they had a “revolution” in 1776? Captivity narratives, poetry, novels, and other public writing by early American women will help us explore these issues.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 350,ENGL,350,LAS 350,Special Topics in Latino Studies ,"Selected works by Latinx Diaspora writers, poets, and artists. Course engages with an ethnic studies framework and approach to texts in terms of U.S. canon formation with attention to race, class, gender, language, and nationality. No prerequisite.","CC, HU, W"
English,Arts & Sciences,3,ENGL 352,ENGL,352,WGSS 352,Feminist and Queer Theory ,An upper-level seminar that challenges students to explore the value of feminist and queer theories for addressing cultural texts as well as understanding contemporary social and political issues by applying theories of gender and sexuality.,"CC, W"
English,Arts & Sciences,3-4,ENGL 357,ENGL,357,,Arthurian Legend ,"King Arthur had a powerful hold on the popular imagination for more than a thousand years, from Geoffrey of Monmouth’s twelfth-century History of the Kings of Britain to Tracy Deonn’s twenty-first-century novel Legendborn. In this course, we consider how reinventions of Arthurian legends both reflect and shape the values of their time—with a particular focus on gendered and classed norms of ethical behavior; ideals of justice, leadership, and the rule of law; and notions of nationality and ethnicity.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 358,ENGL,358,,Outcasts in Medieval Literature and Culture ,"This course investigates how late medieval English writing features multiple types of outcasts including lepers, beggars, heretics, religious recluses, and so-called lunatics. How do these categories of exclusion function both to critique and to promote forms of hierarchy that privilege men over women, the rich over the poor, the faithful over the heretic, and the sane over the mentally ill? How do current social, ethical, and political ideals create categories of exclusion that potentially resonate with the premodern past?","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 359,ENGL,359,,"Sinners, Saints, and Heretics ","Exploring how religion is linked to issues of gender, power, and identity, this course investigates the fascinating complexities of Christian belief and practice in medieval England. How does a culture that idealizes social unity come to justify the burning of heretics? How does it arrive at distinctions between perfect virgins and ordinary wives, between holy mendicants and slothful beggars? How do such identifications map on to current understandings of social identity and institutional power?","CC, HE, W"
English,Arts & Sciences,3-4,ENGL 360,ENGL,360,,Middle English Literature ,"Major literary works of the Middle English period by authors other than Chaucer. Emphasis on Piers Plowman, the Gawain/ Pearl Poet, and the metrical romances.","CC, HE, HU, W"
English,Arts & Sciences,3,ENGL 363,ENGL,363,WGSS 363,Gender and Sexuality in Early Modern Poetry ,"In sixteenth- and seventeenth-century England, poetry was a culturally significant literary form in which authors explored a range of pressing issues. Our readings will be drawn from canonical and non-canonical authors, and we will pay attention to how poetic form intersects with explorations of gender and sexuality. This study of gender and sexuality in the poetry of one historical period will enable us to think more broadly about how literary texts participate in—and help to shape—social and cultural norms.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 365,ENGL,365,,Listening to/for Indigenous Voices in the Atlantic World ,"This course explores writing by and about Native Americans on both sides of the eighteenth-century Atlantic. We will discuss topics such as settler colonialism, indigenous agency, the “Last of …” trope, religion, and violence. Texts will include captivity narratives, early novels, memoirs, political writing, and other literary forms produced from the 1680s to the 1830s.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 366,ENGL,366,,Topics in British Eighteenth-Century Literature ,"The poetry, drama, fiction, and non-fictional prose of the long eighteenth century (1660-1800), with particular attention to how writers are shaped by and engage with the cultural issues of their time.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 367,ENGL,367,,Topics in Transatlantic Eighteenth-Century Literature ,"The poetry, drama, fiction, and non-fictional prose written in Britain and the Americas during the long eighteenth century (1660-1800), with particular attention to the transatlantic circulation of texts and ideas.","CC, HE, HU, W"
English,Arts & Sciences,3-4,ENGL 368,ENGL,368,,Transatlantic Radicalism: Can We Remake the World? ,"In the 1790s, anything seemed possible to some writers on both sides of the Atlantic. “The earth was all before me,” Wordsworth wrote. Some novelists envisioned remaking the world, though their efforts to create new societies rarely treated all men and women equally. These progressive efforts, moreover, led other writers to struggle to hold in place a world that they felt was spiraling out of control.","CC, HE, HU, W"
